trip,arm,origin,dest,arrived,duration_s,fuel_mg,reroutes,driven_edges,bg_vcount_at_depart,bg_possum_at_depart
0,,-153451#0,-153006#0,True,837.0,460971.52736676217,0,-153451#0|153452#2|153451#1|153451#2|153451#3|153451#4|153456#0|153456#1|153456#2|153456#3|153456#4|153456#5|153456#6|153007#6|152406|153636#1|153002#0|152838|153005#1|152235|153338|153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|-153006#3|-153006#2|-153006#1|-153006#0,220,44307.6
2,,153571,-152163#1,True,959.5,677643.6581722717,0,153571|-153571|152487#2|152487#3|152750#2|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|-153451#5|153456#0|153456#1|153456#2|153456#3|153456#4|153456#5|153456#6|153007#6|152406|153636#1|153002#0|152838|153005#1|152235|153338|153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|152168#0|152168#1|152399#1|152399#2|152901#0|152901#1|152320|152403|-152958|152895#1|152895#2|152982#0|152982#1|152894#0|152894#1|152873#1|152873#2|152163#0,239,46681.2
1,,153641,152334,True,1274.5,1075158.9992098212,0,153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|152168#0|152168#1|152399#1|152399#2|152901#0|152901#1|152988|152814#0|152814#1|152814#2|-152836#6|-152836#5|-152830#2|-152830#1|-152830#0|-153441#1|-153441#0|-153445#1|-153445#0|153003#0|153003#1|153004|-152971#5|-152971#4|-152971#3|-152971#2|-152971#1|-152971#0|152708#1|152706#3|152701#3|152701#4|152701#5|152703|152704|152667#1|152667#2|152667#3|152667#4|152667#5|152667#6|152667#7|152667#8|152667#9|152667#10|152667#11|152605#1|152605#2|152610|152617|-152606#1|-152606#0|152454#4|152454#1|-152582#4|-152582#3|-152582#2|-152582#1|-152582#0|152576|152219|152346#1|152221|-153480#7|-153480#6|-153480#5|-153480#4|-153480#3|-153480#2|-153480#1|-153480#0|-153372#1|-153326#4|-153326#3|-153326#2|-153326#1|-153326#0|-153360#0|-153362#0|-153325#2|-153355#4,231,41762.6
