seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,ablation,153487#1,-152776,True,408457.89,56450.674852052194,683.75,1280241.93,0.0,0,81.11,7235.66,0,220,44307.6
1,1,ablation,-152401,-153473#0,True,148498.27,84829.00900283338,151.75,465439.18,0.0,0,19.82,1750.56,0,231,41570.8
1,2,ablation,-153413#12,-153370#1,False,,,,,,,,,0,239,46458.9
1,0,ours-augtime,153487#1,-152776,True,450138.7,58454.86467323411,729.75,1410883.58,0.25,1,87.41,7700.62,0,220,44307.6
1,1,ours-augtime,-152401,-153473#0,True,148484.25,84821.00013709899,151.75,465395.08,0.0,0,19.83,1750.56,0,231,41570.8
1,2,ours-augtime,-153413#12,-153370#1,True,588092.89,88681.59589595733,570.75,1843259.29,0.0,0,28.99,6631.51,0,239,46458.9
