seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,ablation,-153451#0,-153006#0,True,460898.98,70140.41506051508,837.0,1444762.9,306.5,2,346.67,6571.09,0,220,44307.6
1,1,ablation,153641,152334,True,1075411.93,93620.15657740901,1274.5,3370868.87,357.25,5,450.84,11486.97,0,231,41762.6
1,2,ablation,153571,-152163#1,True,677341.11,59137.42220840813,959.5,2123019.25,22.5,3,94.86,11453.68,0,239,46681.2
1,0,ours-augtime,-153451#0,-153006#0,True,607316.01,74995.24700977765,1029.5,1903630.34,300.25,1,369.05,8098.06,2,220,44307.6
1,1,ours-augtime,153641,152334,True,824654.34,67991.02801827375,945.25,2584745.43,21.25,2,95.27,12128.87,0,231,41762.6
1,2,ours-augtime,153571,-152163#1,True,699795.47,59800.33412520722,1003.5,2193346.68,3.5,1,86.15,11702.2,0,239,46681.2
