seed,n_paired,ours_fuel,base_fuel,ours_dur,base_dur,ours_co2,base_co2,fuel_saving_pct,dur_saving_pct,co2_saving_pct
4,25,455914.5964000001,410759.85240000003,478.28,415.42,1429014.5259999998,1287459.3664000002,-17.411514698938486,-27.85486801421599,-17.414058352678534
6,25,451624.2664000001,411733.1924,468.27,414.57,1415566.3051999998,1290510.5695999998,-16.906552640397837,-25.65920696703963,-16.90941592281644
8,25,428995.3536,411804.62559999997,436.52,430.07,1344623.82,1290736.4176,-7.115665104830101,-7.452979126757387,-7.11637757760451
10,25,451436.2748,411030.2504000001,457.89,414.92,1414973.4392000001,1288306.4903999998,-17.58127870628142,-23.409244598038836,-17.58379447433389
