seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,ablation,153487#1,-152776,True,317611.25,46425.29826028235,613.25,995485.77,0.0,0,52.25,6841.34,0,223,38861.7
1,1,ablation,-152401,-153473#0,True,143231.58,78773.54848289856,157.0,448929.22,0.0,0,14.84,1818.27,0,229,46594.9
1,2,ablation,-153413#12,-153370#1,True,581767.83,92583.6418033961,525.75,1823440.16,0.0,0,38.53,6283.7,0,238,37760.0
1,0,ours-fuel,153487#1,-152776,True,317611.25,46425.29826028235,613.25,995485.77,0.0,0,52.25,6841.34,0,223,38861.7
1,1,ours-fuel,-152401,-153473#0,True,143231.58,78773.54848289856,157.0,448929.22,0.0,0,14.84,1818.27,0,229,46594.9
1,2,ours-fuel,-153413#12,-153370#1,True,581767.83,92583.6418033961,525.75,1823440.16,0.0,0,38.53,6283.7,0,238,37760.0
