ego_id,seed,arm,crossed,chosen_cost,bypass_cost,ratio
ego_1,4,ours-fuel,False,131624.616,114982.783,1.1447
ego_0,4,ours-fuel,False,272206.045,236615.747,1.1504
ego_2,4,ours-fuel,False,553178.868,520448.098,1.0629
ego_5,4,ours-fuel,False,210772.02,127269.03,1.6561
ego_3,4,ours-fuel,False,854489.57,624726.235,1.3678
ego_4,4,ours-fuel,False,162585.112,158824.428,1.0237
ego_7,4,ours-fuel,False,218402.474,206667.724,1.0568
ego_6,4,ours-fuel,False,621349.091,558281.794,1.113
ego_10,4,ours-fuel,False,167424.687,151117.316,1.1079
ego_9,4,ours-fuel,False,373961.398,317229.812,1.1788
ego_8,4,ours-fuel,False,205841.584,182967.28,1.125
ego_13,4,ours-fuel,False,71906.306,45844.255,1.5685
ego_1,4,ours-augtime,False,162.554,129.999,1.2504
ego_14,4,ours-fuel,False,174748.609,159938.285,1.0926
ego_1,4,ablation,False,116.492,105.807,1.101
ego_12,4,ours-fuel,False,363765.848,287656.426,1.2646
ego_0,4,ours-augtime,False,649.079,512.288,1.267
ego_0,4,ablation,False,435.853,419.115,1.0399
ego_2,4,ours-augtime,False,710.964,593.536,1.1978
ego_5,4,ours-augtime,False,355.745,140.174,2.5379
ego_2,4,ablation,False,407.824,378.107,1.0786
ego_5,4,ablation,False,107.52,90.041,1.1941
ego_3,4,ours-augtime,False,884.396,619.658,1.4272
ego_4,4,ours-augtime,False,357.34,348.968,1.024
ego_18,4,ours-fuel,False,188001.332,134870.793,1.3939
ego_3,4,ablation,False,434.556,426.633,1.0186
ego_15,4,ours-fuel,False,251043.869,233730.417,1.0741
ego_16,4,ours-fuel,False,878441.284,735714.603,1.194
ego_4,4,ablation,False,314.696,306.757,1.0259
ego_17,4,ours-fuel,False,624695.824,511164.813,1.2221
ego_11,4,ours-fuel,False,704764.252,177378.905,3.9732
ego_7,4,ours-augtime,False,368.128,265.533,1.3864
ego_7,4,ablation,False,235.626,231.307,1.0187
ego_6,4,ours-augtime,False,698.631,602.084,1.1604
ego_6,4,ablation,False,412.333,406.821,1.0135
ego_8,4,ours-augtime,False,481.721,352.984,1.3647
ego_8,4,ablation,False,249.484,231.292,1.0787
ego_20,4,ours-fuel,False,503631.58,446865.858,1.127
ego_21,4,ours-fuel,False,340749.446,319460.982,1.0666
ego_10,4,ablation,False,133.268,121.515,1.0967
ego_10,4,ours-augtime,False,340.104,246.651,1.3789
ego_9,4,ours-augtime,False,561.973,486.652,1.1548
ego_19,4,ours-fuel,False,393235.329,160327.739,2.4527
ego_9,4,ablation,False,316.369,255.986,1.2359
ego_23,4,ours-fuel,False,348822.326,285805.271,1.2205
ego_11,4,ablation,False,133.141,97.008,1.3725
ego_13,4,ours-augtime,False,102.756,58.001,1.7716
ego_13,4,ablation,False,31.139,24.704,1.2605
ego_22,4,ours-fuel,False,722610.467,646524.583,1.1177
ego_24,4,ours-fuel,False,517486.753,486942.456,1.0627
ego_14,4,ours-augtime,False,237.226,218.802,1.0842
ego_14,4,ablation,False,132.157,122.581,1.0781
ego_12,4,ours-augtime,False,674.659,480.046,1.4054
ego_12,4,ablation,False,318.266,297.623,1.0694
ego_18,4,ours-augtime,False,301.395,194.553,1.5492
ego_18,4,ablation,False,144.901,93.718,1.5461
ego_15,4,ours-augtime,False,627.391,591.949,1.0599
ego_15,4,ablation,False,525.82,516.095,1.0188
ego_16,4,ablation,False,482.893,458.819,1.0525
ego_17,4,ours-augtime,False,939.994,718.168,1.3089
ego_17,4,ablation,False,431.486,387.239,1.1143
ego_16,4,ours-augtime,False,864.61,846.09,1.0219
ego_20,4,ours-augtime,False,745.487,531.975,1.4014
ego_19,4,ours-augtime,False,757.263,388.687,1.9483
ego_21,4,ours-augtime,False,614.01,533.458,1.151
ego_20,4,ablation,False,331.754,300.525,1.1039
ego_11,4,ours-augtime,False,378.954,228.795,1.6563
ego_19,4,ablation,False,575.732,323.212,1.7813
ego_21,4,ablation,False,342.799,291.613,1.1755
ego_23,4,ours-augtime,False,537.181,373.47,1.4384
ego_23,4,ablation,False,252.31,226.026,1.1163
ego_22,4,ours-augtime,False,1044.469,838.305,1.2459
ego_22,4,ablation,False,416.663,400.212,1.0411
ego_24,4,ablation,False,352.015,348.417,1.0103
ego_24,4,ours-augtime,False,581.423,543.446,1.0699
