trip,arm,origin,dest,arrived,duration_s,fuel_mg,reroutes,driven_edges,bg_vcount_at_depart,bg_possum_at_depart
0,,-153451#0,-153006#0,True,1029.5,607239.9801959923,2,-153451#0|153452#2|153451#1|153451#2|153451#3|153451#4|153451#5|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|152836#0|152836#1|152836#2|152836#3|152836#4|-152830#2|-152830#1|-152830#0|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|152870#0|152870#1|152870#2|152870#3|152870#4|152870#5,220,44307.6
1,,153641,152334,True,945.25,824149.1045015103,0,153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|152168#0|152168#1|152399#1|152399#2|152901#0|152901#1|152988|152814#0|-152896|152814#2|-152836#6|-152836#5|-152830#2|-152830#1|-152830#0|153441#2|153441#3|153440#1|153440#2|153440#3|153440#4|153440#5|153440#6|-152255#1|-152255#0|-153423#4|-153423#3|153410#0|153410#1|153410#2|153410#3|153410#4|153410#5|153410#6|153410#7|153410#8|153410#9|153331#4|152996#0|152996#2|152996#3|152996#4|152996#5|152996#6|152996#7|152996#8|153399#1|152933#4|152933#0|-153374#14|-153374#13|-153374#12|-153374#11|-153374#10|-153374#9|-153374#8|-153374#7|-153374#6|-153374#5|-153374#4|-153374#3|-153374#2|-153374#1|-153374#0|-152215|-152566#1|-152566#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153326#4|-153326#3|-153326#2|-153326#1|-153326#0|-153360#0|-153362#0|-153325#2|-153355#4,231,41762.6
2,,153571,-152163#1,True,1003.5,699782.8266647522,0,153571|-153571|152487#2|152487#3|152750#2|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|153444#5|152892#1|-152300|152891#0|152891#1|152399#0|152399#1|152399#2|152901#0|152901#1|152320|152403|-152958|152895#1|152895#2|152982#0|152982#1|152894#0|152894#1|152873#1|152873#2|152163#0,239,46681.2
