seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,ablation,153452#0,-152457#0,True,412117.35,38371.87118543699,918.25,1291681.18,0.0,0,55.27,10740.09,0,228,43124.5
1,1,ablation,-153395,152996#8,True,538615.72,65072.99899723332,669.25,1688220.7,1.5,1,75.13,8277.1,0,230,44854.2
1,2,ablation,-152574#0,153354#1,True,293801.28,37087.78582591287,561.25,920863.04,0.0,0,91.06,7921.78,0,243,48803.0
1,3,ablation,152487#2,152761,True,782493.25,84237.88013680564,1060.75,2452748.25,302.25,2,397.84,9289.09,0,248,54998.6
1,4,ablation,152740,-153421#2,True,348968.89,56000.8745901863,538.0,1093810.44,0.0,0,52.1,6231.49,0,253,64266.7
1,5,ablation,-153427#3,153437,True,479111.45,73987.64740037927,953.0,1501844.81,300.25,1,351.92,6475.56,0,249,69665.7
1,6,ablation,153567,152176#1,True,319805.22,61209.20075256613,459.0,1002412.45,0.0,0,44.65,5224.79,0,247,70294.0
1,7,ablation,153332#2,-152912#2,True,502673.37,59403.893424218506,583.5,1575545.45,0.0,0,82.83,8461.96,0,234,66281.6
1,8,ablation,-153567,153380#1,True,543574.35,59327.605118829975,774.75,1703773.55,0.0,0,96.07,9162.25,0,224,60254.3
1,9,ablation,-152376,-152796#1,True,610416.18,95018.38831043293,1114.75,1913479.05,600.5,2,623.84,6424.19,0,231,43518.4
1,10,ablation,-152732,-153372#3,True,188792.75,37945.240583671664,456.0,591762.38,0.0,0,36.91,4975.4,0,238,41524.2
1,11,ablation,-152977,152715,True,279606.78,44037.695731471074,521.0,876405.03,4.5,1,73.39,6349.26,0,242,61689.3
1,12,ablation,-152849,-153060,True,440106.93,72404.46659921526,494.25,1379479.45,0.0,0,47.96,6078.45,0,247,53505.8
1,13,ablation,152372,152422#1,True,339814.28,46203.12476630876,792.0,1065130.88,2.25,2,63.05,7354.79,1,262,45757.5
1,14,ablation,153452#2,153413#12,True,287999.44,43125.24463890773,680.25,902707.92,0.0,0,49.69,6678.21,0,258,53749.9
1,15,ablation,153027,-152938#1,True,733226.24,110927.14955264617,1149.0,2298440.04,600.5,2,664.82,6609.98,0,255,48363.8
1,16,ablation,-152570,152550,True,281051.02,33656.10424073757,622.0,880899.81,0.5,1,50.51,8350.67,0,244,60801.8
1,17,ablation,152750#1,-153421#4,True,439055.49,59793.770249345274,692.75,1376171.24,0.25,1,50.8,7342.83,0,242,74789.0
1,18,ablation,152961,-153648,True,512013.74,81729.96951170846,876.5,1604978.87,300.25,1,368.02,6264.7,0,236,58649.8
1,19,ablation,-153457,-153403,True,496301.68,55454.62245061002,681.0,1555552.59,0.0,0,46.86,8949.69,0,240,50469.3
1,20,ablation,152851#1,-153381#2,True,472474.71,70679.9113200124,602.25,1480926.8,0.0,0,43.56,6684.71,0,240,56228.8
1,21,ablation,153479#9,-153391#1,True,543292.8,112519.08997711481,389.0,1702908.84,10.5,1,45.41,4828.45,0,242,50493.9
1,22,ablation,-153482#1,152558#6,True,234793.13,38284.94255460004,520.75,735935.36,0.0,0,44.56,6132.78,0,255,67410.5
1,23,ablation,-153570,-153033#0,True,508873.93,66634.88133040887,656.75,1595018.52,0.0,0,66.42,7636.75,0,270,63864.6
1,24,ablation,-152739,-153006#0,True,447328.74,77641.15532613959,814.0,1402220.92,300.25,1,345.87,5761.49,0,273,65529.5
