ego_id,seed,arm,crossed,chosen_cost,bypass_cost,ratio
ego_1,5,ours-fuel,False,144515.197,124833.936,1.1577
ego_0,5,ours-fuel,False,302452.619,263737.799,1.1468
ego_2,5,ours-fuel,False,560454.92,537671.816,1.0424
ego_5,5,ours-fuel,False,209019.072,134955.34,1.5488
ego_4,5,ours-fuel,False,161558.056,157750.573,1.0241
ego_3,5,ours-fuel,False,848132.459,668176.862,1.2693
ego_7,5,ours-fuel,False,230121.095,212491.809,1.083
ego_6,5,ours-fuel,False,615128.74,591174.587,1.0405
ego_10,5,ours-fuel,False,166667.786,150834.639,1.105
ego_9,5,ours-fuel,False,381038.678,324115.941,1.1756
ego_8,5,ours-fuel,False,202821.049,179982.344,1.1269
ego_13,5,ours-fuel,False,71714.788,50751.915,1.413
ego_1,5,ours-augtime,False,159.582,124.35,1.2833
ego_1,5,ablation,False,116.295,105.749,1.0997
ego_14,5,ours-fuel,False,171403.815,157628.03,1.0874
ego_12,5,ours-fuel,False,352599.751,305254.778,1.1551
ego_0,5,ours-augtime,False,600.317,477.834,1.2563
ego_0,5,ablation,False,435.218,418.629,1.0396
ego_2,5,ours-augtime,False,645.922,540.797,1.1944
ego_5,5,ours-augtime,False,334.754,130.991,2.5556
ego_2,5,ablation,False,407.824,378.107,1.0786
ego_18,5,ours-fuel,False,187247.983,135089.196,1.3861
ego_5,5,ablation,False,107.533,90.046,1.1942
ego_4,5,ours-augtime,False,341.582,333.642,1.0238
ego_15,5,ours-fuel,False,250701.471,232788.539,1.0769
ego_16,5,ours-fuel,False,883573.067,762696.677,1.1585
ego_3,5,ours-augtime,False,856.877,601.445,1.4247
ego_4,5,ablation,False,314.843,306.904,1.0259
ego_3,5,ablation,False,421.23,413.439,1.0188
ego_17,5,ours-fuel,False,615942.489,517669.3,1.1898
ego_11,5,ours-fuel,False,693501.519,189799.497,3.6539
ego_7,5,ours-augtime,False,365.726,259.091,1.4116
ego_7,5,ablation,False,234.913,230.594,1.0187
ego_6,5,ablation,False,413.469,407.958,1.0135
ego_6,5,ours-augtime,False,684.9,596.602,1.148
ego_8,5,ours-augtime,False,464.493,344.739,1.3474
ego_20,5,ours-fuel,False,493887.054,454568.504,1.0865
ego_8,5,ablation,False,249.508,231.227,1.0791
ego_19,5,ours-fuel,False,384786.262,154500.032,2.4905
ego_10,5,ours-augtime,False,269.868,238.093,1.1335
ego_10,5,ablation,False,132.86,121.55,1.093
ego_21,5,ours-fuel,False,336948.5,316432.045,1.0648
ego_9,5,ours-augtime,False,524.089,454.046,1.1543
ego_9,5,ablation,False,316.251,255.867,1.236
ego_23,5,ours-fuel,False,342789.562,290036.6,1.1819
ego_11,5,ablation,False,133.481,96.321,1.3858
ego_13,5,ours-augtime,False,110.413,77.649,1.4219
ego_13,5,ablation,False,31.299,24.828,1.2606
ego_24,5,ours-fuel,False,518348.776,495289.859,1.0466
ego_22,5,ours-fuel,False,743247.873,659993.027,1.1261
ego_14,5,ablation,False,131.599,122.023,1.0785
ego_12,5,ablation,False,318.259,297.244,1.0707
ego_18,5,ablation,False,145.032,93.706,1.5477
ego_16,5,ablation,False,482.273,458.501,1.0518
ego_15,5,ablation,False,525.831,516.052,1.0189
ego_17,5,ablation,False,432.019,387.29,1.1155
ego_19,5,ablation,False,575.736,323.216,1.7813
ego_21,5,ablation,False,343.301,292.156,1.1751
ego_20,5,ablation,False,333.348,300.696,1.1086
ego_23,5,ablation,False,251.779,224.803,1.12
ego_22,5,ablation,False,416.422,400.231,1.0405
ego_24,5,ablation,False,351.312,347.714,1.0103
