seed,n_paired,ours_fuel,base_fuel,ours_dur,base_dur,ours_co2,base_co2,fuel_saving_pct,dur_saving_pct,co2_saving_pct
4,25,448899.26119999995,410759.85240000003,473.81,415.42,1407024.0564000001,1287459.3664000002,-15.344516906494798,-23.893649143954352,-15.34720247723619
5,25,450042.15800000005,413058.16359999997,463.13,413.95,1410605.8292000003,1294663.376,-15.968802539280414,-20.893255013369536,-15.971591936861394
6,25,451303.45599999995,411733.1924,466.26,414.57,1414559.6379999998,1290510.5695999998,-16.572549351845648,-22.897106018453737,-16.575378421845475
8,25,449369.0152,411804.62559999997,477.17,430.07,1408497.3304000003,1290736.4176,-15.519065821489523,-20.969967034995356,-15.521646378139778
10,25,450453.64080000005,411030.2504000001,470.19,414.92,1411896.5268,1288306.4903999998,-16.114062343290385,-22.18504312452803,-16.11689276445735
