ego_id,seed,arm,crossed,chosen_cost,bypass_cost,ratio
ego_1,10,ours-fuel,False,142142.926,119956.246,1.185
ego_0,10,ours-fuel,False,305748.244,268202.889,1.14
ego_2,10,ours-fuel,False,558889.289,525587.001,1.0634
ego_5,10,ours-fuel,False,205469.061,123805.524,1.6596
ego_3,10,ours-fuel,False,864034.048,629378.815,1.3728
ego_4,10,ours-fuel,False,162644.415,156356.835,1.0402
ego_7,10,ours-fuel,False,242088.633,223283.674,1.0842
ego_6,10,ours-fuel,False,598011.324,547104.148,1.093
ego_10,10,ours-fuel,False,165658.376,149833.316,1.1056
ego_9,10,ours-fuel,False,373790.513,316243.193,1.182
ego_8,10,ours-fuel,False,202438.378,173265.936,1.1684
ego_13,10,ours-fuel,False,69697.618,48037.52,1.4509
ego_1,10,ours-augtime,False,176.26,125.834,1.4007
ego_14,10,ours-fuel,False,176556.179,161368.098,1.0941
ego_12,10,ours-fuel,False,362559.09,309052.525,1.1731
ego_0,10,ours-augtime,False,639.673,511.717,1.2501
ego_2,10,ours-augtime,False,771.205,633.392,1.2176
ego_5,10,ours-augtime,False,380.998,141.757,2.6877
ego_3,10,ours-augtime,False,865.795,600.482,1.4418
ego_4,10,ours-augtime,False,352.851,344.912,1.023
ego_18,10,ours-fuel,False,182206.556,129800.642,1.4037
ego_15,10,ours-fuel,False,238114.762,220476.411,1.08
ego_16,10,ours-fuel,False,875931.865,734306.022,1.1929
ego_7,10,ours-augtime,False,422.083,282.315,1.4951
ego_6,10,ours-augtime,False,740.665,600.592,1.2332
ego_17,10,ours-fuel,False,605630.569,499901.724,1.2115
ego_11,10,ours-fuel,False,486550.695,175172.021,2.7776
ego_8,10,ours-augtime,False,477.803,356.2,1.3414
ego_9,10,ours-augtime,False,593.662,514.479,1.1539
ego_10,10,ours-augtime,False,394.199,245.14,1.6081
ego_20,10,ours-fuel,False,511953.821,449762.204,1.1383
ego_21,10,ours-fuel,False,329332.874,308074.7,1.069
ego_1,10,ablation,False,116.087,105.503,1.1003
ego_13,10,ours-augtime,False,100.382,65.168,1.5403
ego_19,10,ours-fuel,False,396362.609,163070.956,2.4306
ego_23,10,ours-fuel,False,327679.019,276209.388,1.1863
ego_14,10,ours-augtime,False,249.396,230.794,1.0806
ego_0,10,ablation,False,435.418,418.711,1.0399
ego_12,10,ours-augtime,False,718.347,484.146,1.4837
ego_24,10,ours-fuel,False,516051.198,485381.435,1.0632
ego_2,10,ablation,False,407.827,378.132,1.0785
ego_22,10,ours-fuel,False,759779.251,635881.612,1.1948
ego_5,10,ablation,False,107.52,90.041,1.1941
ego_3,10,ablation,False,420.265,412.468,1.0189
ego_4,10,ablation,False,314.585,306.511,1.0263
ego_18,10,ours-augtime,False,295.544,190.746,1.5494
ego_15,10,ours-augtime,False,598.066,557.289,1.0732
ego_16,10,ours-augtime,False,810.746,789.149,1.0274
ego_7,10,ablation,False,234.885,230.566,1.0187
ego_6,10,ablation,False,407.847,402.336,1.0137
ego_8,10,ablation,False,249.705,231.513,1.0786
ego_17,10,ours-augtime,False,976.213,701.139,1.3923
ego_10,10,ablation,False,133.732,121.518,1.1005
ego_9,10,ablation,False,316.242,255.859,1.236
ego_11,10,ablation,False,133.039,96.621,1.3769
ego_20,10,ours-augtime,False,795.003,553.664,1.4359
ego_19,10,ours-augtime,False,753.938,373.196,2.0202
ego_21,10,ours-augtime,False,624.424,565.184,1.1048
ego_13,10,ablation,False,31.138,24.703,1.2605
ego_11,10,ours-augtime,False,381.021,223.633,1.7038
ego_23,10,ours-augtime,False,527.593,366.673,1.4389
ego_14,10,ablation,False,132.447,122.871,1.0779
ego_12,10,ablation,False,318.061,297.544,1.069
ego_22,10,ours-augtime,False,1078.568,817.461,1.3194
ego_24,10,ours-augtime,False,554.671,516.584,1.0737
ego_18,10,ablation,False,145.023,93.697,1.5478
ego_15,10,ablation,False,525.768,516.054,1.0188
ego_16,10,ablation,False,452.152,449.096,1.0068
ego_17,10,ablation,False,432.198,387.319,1.1159
ego_20,10,ablation,False,331.79,300.567,1.1039
ego_21,10,ablation,False,342.574,291.615,1.1747
ego_19,10,ablation,False,576.185,323.666,1.7802
ego_23,10,ablation,False,252.398,226.066,1.1165
ego_24,10,ablation,False,366.333,362.734,1.0099
ego_22,10,ablation,False,416.803,400.678,1.0402
