ego_id,seed,arm,crossed,chosen_cost,bypass_cost,ratio
ego_1,1,ablation,True,548.477,520.589,1.0536
ego_2,1,ablation,True,511.087,503.077,1.0159
ego_0,1,ablation,True,698.086,553.66,1.2609
ego_4,1,ablation,True,400.57,410.435,0.976
ego_6,1,ablation,True,333.726,336.502,0.9918
ego_3,1,ablation,True,577.058,595.755,0.9686
ego_7,1,ablation,True,474.832,551.702,0.8607
ego_5,1,ablation,True,404.648,496.286,0.8154
ego_10,1,ablation,True,322.789,324.678,0.9942
ego_8,1,ablation,True,584.791,587.194,0.9959
ego_11,1,ablation,True,410.928,412.193,0.9969
ego_12,1,ablation,True,399.609,410.163,0.9743
ego_9,1,ablation,False,339.79,427.433,0.795
ego_13,1,ablation,True,459.557,506.107,0.908
ego_14,1,ablation,True,433.205,438.798,0.9873
ego_16,1,ablation,True,540.832,540.934,0.9998
ego_17,1,ablation,True,466.901,475.127,0.9827
ego_21,1,ablation,True,316.116,350.602,0.9016
ego_15,1,ablation,True,2192.362,428.919,5.1114
ego_19,1,ablation,True,563.986,446.767,1.2624
ego_20,1,ablation,True,439.698,450.633,0.9757
ego_18,1,ablation,True,681.954,447.402,1.5243
ego_22,1,ablation,True,396.083,401.388,0.9868
ego_23,1,ablation,True,465.242,513.069,0.9068
ego_24,1,ablation,True,368.609,368.3,1.0008
