ego_id,seed,arm,crossed,chosen_cost,bypass_cost,ratio
ego_1,3,ours-fuel,False,131517.541,110737.771,1.1876
ego_1,3,ours-augtime,False,174.317,131.087,1.3298
ego_0,3,ours-fuel,False,293376.767,255312.824,1.1491
ego_0,3,ours-augtime,False,614.3,501.209,1.2256
ego_2,3,ours-fuel,False,558330.2,529484.807,1.0545
ego_2,3,ours-augtime,False,694.267,583.226,1.1904
ego_5,3,ours-fuel,False,197509.033,129054.738,1.5304
ego_5,3,ours-augtime,False,359.155,138.727,2.5889
ego_4,3,ours-fuel,False,161897.077,155651.635,1.0401
ego_3,3,ours-fuel,False,865995.468,645955.923,1.3406
ego_4,3,ours-augtime,False,345.734,337.521,1.0243
ego_3,3,ours-augtime,False,853.153,598.214,1.4262
ego_7,3,ours-fuel,False,228355.354,207563.928,1.1002
ego_7,3,ours-augtime,False,374.098,273.805,1.3663
ego_6,3,ours-fuel,False,624087.694,591230.955,1.0556
ego_6,3,ours-augtime,False,704.172,675.204,1.0429
ego_10,3,ours-fuel,False,173145.789,154863.387,1.1181
ego_8,3,ours-augtime,False,494.8,362.656,1.3644
ego_9,3,ours-fuel,False,384161.41,325825.651,1.179
ego_10,3,ours-augtime,False,332.992,245.133,1.3584
ego_9,3,ours-augtime,False,543.891,465.797,1.1677
ego_8,3,ours-fuel,False,198937.445,179781.057,1.1066
ego_13,3,ours-fuel,False,71586.51,48135.826,1.4872
ego_13,3,ours-augtime,False,118.102,93.33,1.2654
ego_14,3,ours-fuel,False,173459.909,158355.262,1.0954
ego_12,3,ours-fuel,False,370191.135,322186.591,1.149
ego_1,3,ablation,False,117.008,106.449,1.0992
ego_0,3,ablation,False,435.041,418.376,1.0398
ego_2,3,ablation,False,407.824,378.107,1.0786
ego_18,3,ours-fuel,False,183514.776,131943.466,1.3909
ego_15,3,ours-fuel,False,244367.019,225978.949,1.0814
ego_5,3,ablation,False,107.676,90.076,1.1954
ego_16,3,ours-fuel,False,886320.265,743097.524,1.1927
ego_3,3,ablation,False,420.139,412.342,1.0189
ego_4,3,ablation,False,314.968,307.028,1.0259
ego_17,3,ours-fuel,False,600728.651,504559.131,1.1906
ego_11,3,ours-fuel,False,503203.045,187507.822,2.6836
ego_7,3,ablation,False,234.943,230.624,1.0187
ego_20,3,ours-fuel,False,507197.945,449994.786,1.1271
ego_21,3,ours-fuel,False,339288.094,317995.934,1.067
ego_8,3,ablation,False,249.186,231.033,1.0786
ego_6,3,ablation,False,412.91,407.399,1.0135
ego_10,3,ablation,False,132.955,121.461,1.0946
ego_9,3,ablation,False,316.203,255.82,1.236
ego_19,3,ours-fuel,False,403237.722,164912.539,2.4452
ego_23,3,ours-fuel,False,340206.443,289689.501,1.1744
ego_11,3,ablation,False,133.389,95.541,1.3961
ego_24,3,ours-fuel,False,516954.981,485563.559,1.0646
ego_22,3,ours-fuel,False,710044.928,635426.847,1.1174
ego_13,3,ablation,False,31.232,24.774,1.2607
