vid,arm,seed,route_len,crosses_corridor,corridor_edges_in_route,route_edges
ego_2,ours-augtime,1,47,False,,-153413#12|-153413#11|-153413#10|-153413#9|-153413#8|-153413#7|-153413#6|-153413#5|-153413#4|-153413#3|-153413#1|-153413#0|153399#0|153399#1|152933#4|152933#0|-153374#14|-153374#13|-153374#12|-153374#11|-153374#10|-153374#9|-153374#8|-153374#7|-153374#6|153098#1|152600|-153023#0|-153383#2|-153381#7|-153381#6|-153381#5|-153381#4|-153381#3|-153381#2|-153381#1|-153381#0|152512#1|152512#2|152512#3|-153371#4|-153371#3|-153371#2|-153371#1|-153371#0|-152247|-153370#1
ego_0,ours-augtime,1,68,False,,153487#1|-153487#1|-153487#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|152836#0|152836#1|152836#2|152836#3|152836#4|-152830#2|-152830#1|-152830#0|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|152870#0|152870#1|152870#2|152870#3|-152832#6|-152832#5|-152832#4|-152832#3|-152832#2|-152832#1|-152832#0|-152987#1|-152987#0|-152795#1|152824#0|152809|152821#2|152959#4|-152817#3|-152817#2|-152817#1|-152817#0|-152776
ego_1,ours-augtime,1,17,False,,-152401|-153008#0|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|152919#0|-152922|-153010#0|-152920#2
ego_2,ours-augtime,1,53,False,,-153413#12|-153413#11|-153413#10|-153413#9|-153413#8|-153413#7|-153413#6|-153413#5|-153413#4|-153413#3|-153413#1|-153413#0|153399#0|153399#1|152933#4|152933#0|-153374#14|-153374#13|-153374#12|-153374#11|-153374#10|-153374#9|-153374#8|-153374#7|-153374#6|-153374#5|-153374#4|-153374#3|-153374#2|-153374#1|-153023#3|-153023#2|-153023#1|-153023#0|-153383#2|-153381#7|-153381#6|-153381#5|-153381#4|-153381#3|-153381#2|-153381#1|-153381#0|152512#1|152512#2|152512#3|-153371#4|-153371#3|-153371#2|-153371#1|-153371#0|-152247|-153370#1
ego_0,ours-augtime,1,68,False,,153487#1|-153487#1|-153487#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|152836#0|152836#1|152836#2|152836#3|152836#4|-152830#2|-152830#1|-152830#0|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|152870#0|152870#1|152870#2|152870#3|-152832#6|-152832#5|-152832#4|-152832#3|-152832#2|-152832#1|-152832#0|-152987#1|-152987#0|-152795#1|152824#0|152809|152821#2|152959#4|-152817#3|-152817#2|-152817#1|-152817#0|-152776
ego_1,ours-augtime,1,17,False,,-152401|-153008#0|153476#10|153476#11|153476#12|153476#13|153476#14|153476#15|153476#16|153476#17|153476#18|153476#19|153476#20|152919#0|-152922|-153010#0|-152920#2
ego_2,ours-augtime,1,53,False,,-153413#12|-153413#11|-153413#10|-153413#9|-153413#8|-153413#7|-153413#6|-153413#5|-153413#4|-153413#3|-153413#1|-153413#0|153399#0|153399#1|152933#4|152933#0|-153374#14|-153374#13|-153374#12|-153374#11|-153374#10|-153374#9|-153374#8|-153374#7|-153374#6|-153374#5|-153374#4|-153374#3|-153374#2|-153374#1|-153023#3|-153023#2|-153023#1|-153023#0|-153383#2|-153381#7|-153381#6|-153381#5|-153381#4|-153381#3|-153381#2|-153381#1|-153381#0|152512#1|152512#2|152512#3|-153371#4|-153371#3|-153371#2|-153371#1|-153371#0|-152247|-153370#1
ego_0,ours-augtime,1,65,False,,-153451#0|153452#2|153451#1|153451#2|153451#3|153451#4|153451#5|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|152836#0|152836#1|152836#2|152836#3|152836#4|-152830#2|-152830#1|-152830#0|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152801|152782|153552#2|152870#0|152870#1|152870#2|152870#3|152870#4|152870#5
ego_1,ours-augtime,1,92,True,152330#0,153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|152168#0|152168#1|152399#1|152399#2|152901#0|152901#1|152988|152814#0|-152896|152814#2|-152836#6|-152836#5|-152830#2|-152830#1|-152830#0|153441#2|153441#3|153440#1|153440#2|153440#3|153440#4|153440#5|153440#6|-152255#1|-152255#0|-153423#4|-153423#3|153410#0|153410#1|153410#2|153410#3|153410#4|153410#5|153410#6|153410#7|153410#8|153410#9|153331#4|152996#0|152996#2|152996#3|152996#4|152996#5|152996#6|152996#7|152996#8|153399#1|152933#4|152933#0|-153374#14|-153374#13|-153374#12|-153374#11|-153374#10|-153374#9|-153374#8|-153374#7|-153374#6|-153374#5|-153374#4|-153374#3|-153374#2|-153374#1|-153374#0|-152215|-152566#1|-152566#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153326#4|-153326#3|-153326#2|-153326#1|-153326#0|-153360#0|-153362#0|-153325#2|-153355#4
ego_2,ours-augtime,1,71,False,,153571|-153571|152487#2|152487#3|152750#2|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|153444#5|152892#1|-152300|152891#0|152891#1|152399#0|152399#1|152399#2|152901#0|152901#1|152320|152403|-152958|152895#1|152895#2|152982#0|152982#1|152894#0|152894#1|152873#1|152873#2|152163#0
