seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,ablation,153487#1,-152776,True,408457.89,56450.674852052194,683.75,1280241.93,0.0,0,81.11,7235.66,0,220,44307.6
1,1,ablation,-152401,-153473#0,True,148498.27,84829.00900283338,151.75,465439.18,0.0,0,19.82,1750.56,0,231,41570.8
1,2,ablation,-153413#12,-153370#1,False,,,,,,,,,0,239,46458.9
1,0,ours-fuel,153487#1,-152776,False,,,,,,,,,0,220,44307.6
1,1,ours-fuel,-152401,-153473#0,True,193983.89,102364.00814758528,196.0,608023.55,18.5,2,49.35,1895.04,0,231,41570.8
1,2,ours-fuel,-153413#12,-153370#1,True,587626.36,88611.24540263077,571.25,1841796.04,0.0,0,29.47,6631.51,0,239,46516.6
