ego_id,seed,arm,crossed,chosen_cost,bypass_cost,ratio
ego_2,1,ours,False,882.447,904.62,0.9755
ego_4,1,ours,False,841.81,775.118,1.086
ego_6,1,ours,False,708.534,690.05,1.0268
ego_1,1,ours,False,2606.846,944.628,2.7597
ego_5,1,ours,True,1575.275,772.258,2.0398
ego_12,1,ours,True,709.074,767.697,0.9236
ego_10,1,ours,True,699.067,731.564,0.9556
ego_7,1,ours,False,660.651,720.182,0.9173
ego_17,1,ours,True,1097.075,898.112,1.2215
ego_11,1,ours,True,2021.125,974.613,2.0738
ego_15,1,ours,False,520.376,629.188,0.8271
ego_16,1,ours,True,1821.983,1065.589,1.7098
ego_9,1,ours,True,1167.733,782.43,1.4924
ego_21,1,ours,True,474.197,515.748,0.9194
ego_8,1,ours,False,1727.069,1180.469,1.463
ego_20,1,ours,False,579.833,652.24,0.889
ego_18,1,ours,True,838.661,957.109,0.8762
ego_22,1,ours,False,859.347,846.249,1.0155
ego_14,1,ours,True,1191.141,969.9,1.2281
