ego_id,seed,arm,crossed,chosen_cost,bypass_cost,ratio
ego_1,7,ours-fuel,False,143319.545,126109.535,1.1365
ego_1,7,ours-augtime,False,172.477,141.065,1.2227
ego_0,7,ours-fuel,False,283017.154,247292.98,1.1445
ego_0,7,ours-augtime,False,606.49,488.36,1.2419
ego_1,7,ablation,False,116.235,105.609,1.1006
ego_0,7,ablation,False,435.021,418.315,1.0399
ego_5,7,ablation,False,107.551,90.048,1.1944
ego_2,7,ablation,False,407.848,378.131,1.0786
ego_4,7,ablation,False,314.868,306.928,1.0259
ego_3,7,ablation,False,422.832,415.036,1.0188
ego_7,7,ablation,False,235.195,230.875,1.0187
ego_6,7,ablation,False,406.282,400.77,1.0138
ego_8,7,ablation,False,249.405,231.212,1.0787
ego_10,7,ablation,False,133.092,121.524,1.0952
ego_9,7,ablation,False,316.087,255.704,1.2361
ego_11,7,ablation,False,133.407,96.743,1.379
ego_13,7,ablation,False,31.314,24.82,1.2616
ego_14,7,ablation,False,132.451,122.875,1.0779
ego_12,7,ablation,False,318.131,297.456,1.0695
ego_18,7,ablation,False,145.042,93.859,1.5453
ego_16,7,ablation,False,467.285,458.797,1.0185
ego_15,7,ablation,False,525.823,516.138,1.0188
ego_17,7,ablation,False,431.37,387.326,1.1137
ego_20,7,ablation,False,331.672,300.539,1.1036
ego_19,7,ablation,False,576.773,324.253,1.7788
ego_21,7,ablation,False,342.412,289.995,1.1808
ego_23,7,ablation,False,252.018,225.553,1.1173
ego_24,7,ablation,False,363.537,359.939,1.01
ego_22,7,ablation,False,416.907,401.077,1.0395
