seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,sumo,153452#0,-152457#0,True,428673.49,39535.31283432324,848.75,1343570.62,0.0,0,62.48,10842.8,0,225,40225.2
1,1,sumo,-153395,152996#8,True,527409.39,62201.76530043012,751.25,1653093.94,0.0,0,59.86,8479.01,0,233,46683.0
1,2,sumo,-152574#0,153354#1,True,253575.12,31116.64241064745,644.5,794728.12,0.0,0,36.01,8149.18,0,240,45006.3
1,3,sumo,152487#2,152761,True,544012.03,49867.04218896808,861.25,1705070.15,20.0,2,86.51,10909.25,0,250,56785.6
1,4,sumo,152740,-153421#2,True,348764.32,55968.04616552382,536.5,1093169.31,0.0,0,52.93,6231.49,0,255,64722.2
1,5,sumo,-153427#3,153437,True,332027.67,46580.82713359586,667.5,1040712.55,0.0,0,64.77,7127.99,0,242,64941.6
1,6,sumo,153567,152176#1,True,447717.07,66605.9301861979,651.25,1403341.93,0.0,0,59.09,6721.88,0,241,71598.6
1,7,sumo,153332#2,-152912#2,True,446988.53,52826.03243861623,700.75,1401010.42,2.5,1,74.61,8461.52,0,231,68913.6
1,8,sumo,-153567,153380#1,True,574497.58,61501.27766900076,919.25,1800712.52,7.25,1,119.58,9341.23,0,224,58088.1
1,9,sumo,-152376,-152796#1,True,384411.51,49424.19578801203,663.5,1204859.72,20.5,1,88.97,7777.8,0,228,45074.7
1,10,sumo,-152732,-153372#3,True,207025.31,41609.78212807011,449.0,648912.14,6.0,1,81.19,4975.4,0,239,46817.9
1,11,sumo,-152977,152715,True,256073.32,40331.207101299995,649.25,802651.77,0.25,1,60.59,6349.26,0,237,60930.7
1,12,sumo,-152849,-153060,True,494893.35,74614.72412987267,699.5,1551224.92,0.0,0,46.86,6632.65,0,243,62525.9
1,13,sumo,152372,152422#1,True,335702.08,45644.00615109337,701.75,1052231.16,0.0,0,62.48,7354.79,0,263,54417.5
1,14,sumo,153452#2,153413#12,True,314546.8,43941.98007049229,726.0,985913.66,0.0,0,50.0,7158.23,0,257,54090.7
