trip,arm,origin,dest,arrived,duration_s,fuel_mg,reroutes,driven_edges,bg_vcount_at_depart,bg_possum_at_depart
0,,153452#0,-152457#0,True,,,0,153452#0|153452#1|153452#2|153451#1|153451#2|153451#3|153451#4|153451#5|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|153480#0|153480#1|153480#2|153480#3|153480#4|153480#5|153480#6|153480#7|152216|-153378#2|-153378#1|-153378#0|152218|-152578#1|152172|152173|153375|-152457#2,224,39864.6
1,,-153395,152996#8,True,,,0,-153395|-152252|-152413#3|-152413#2|-152413#1|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153329#3|-153329#2|-153329#1|-153329#0|152933#3|-153399#1,229,44669.0
4,,152740,-153421#2,True,,,1,152740|152374#2|152840|153427#9|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153412#4|-153412#3|-153412#2|-153412#1|-153412#0|-152254|153423#0|-153421#4|-153421#3|-153421#2,248,56351.8
2,,-152574#0,153354#1,True,,,3,-152574#0|-152624#3|-152624#2|-152624#1|-152624#0|-153424#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153372#0|152558#1|152558#2|152558#3|152558#5|152558#6|153359#0|153359#1|153354#0|153354#1,240,48632.8
3,,152487#2,152761,True,,,1,152487#2|152487#3|152750#2|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|-153331#4|-153331#2|-153331#1|-153331#0|-153415#1|-153415#0|153413#14|153413#15|153413#16|152997|152999|152706#0|152706#1|152706#2|152706#3|152780|152767#2|152767#3|152716|152381|-152672#2|-152672#1|-152650#0|-152677#5|-152677#4|-152677#3|-152677#2|-152677#1|-152677#0|152670#4|152282|-152290,244,53479.9
6,,153567,152176#1,True,,,8,153567|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|-153381#7|-152351|-152442|153381#7|-153383#1|-153386|152176#1,250,67775.6
5,,-153427#3,153437,True,,,1,-153427#3|-152843#2|153063#0|153063#1|153427#4|153427#5|153427#6|153427#7|153427#8|153427#9|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|-153441#1|153443|152812#1|152812#2|152812#3|152812#4,245,65120.2
7,,153332#2,-152912#2,True,,,0,153332#2|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|153444#5|152892#1|-152300|152891#0|152891#1|152399#0|152399#1|152399#2|152901#0|152901#1|152320|152403|152421|152895#2|152982#0|-152912#8|-152912#6|-152912#5|-152912#4|-152912#3|-152912#2,237,68379.2
10,,-152732,-153372#3,True,,,3,-152732|-153424#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153023#0|153023#1|153023#2|153023#3|-153374#0|-152215|-152566#1|153368#0|153368#1,237,53546.7
8,,-153567,153380#1,True,,,9,-153567|153567|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|153480#0|153480#1|153480#2|153480#3|153480#4|153480#5|153480#6|153480#7|152585#1|152350|152582#0|152582#1|-152590#2|-152590#1|-152590#0|-153380#4|-153380#3|-153380#2|-153380#1|-153380#0|153380#0|153380#1,220,64043.1
9,,-152376,-152796#1,True,,,4,-152376|153451#4|153456#0|153456#1|153456#2|153456#3|153456#4|153456#5|153456#6|153007#6|152406|153636#1|153002#0|152838|153005#1|152235|153338|153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|-153006#3|-153006#2|-153006#1|-153006#0|-152899#1|-152899#0|152402#0|152402#2|152938#0|152938#1|152938#2|152419#1|152308|152318#4|152309|-152305|152960#5|152960#6|152960#7|152960#8|-152825#1|-152825#0|-153549#2|-152796#1,230,44112.7
12,,-152849,-153060,True,,,0,-152849|-153007#0|-152931#0|-152908#7|-152908#6|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|-153381#7|-153381#6|153059#0|152441#0,239,49897.9
13,,152372,152422#1,True,,,0,152372|-152372|-152741#0|153043#1|152723#1|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152814#9|152814#10|152814#11|152759|152230|152785#0|152785#1|152785#2|152167|152969#0|152969#1|152969#2|152969#3|-152795#1|152808|152959#4|152959#5|152779|152818#0|152818#1|152818#2|152818#3|152389|152789#0|152422#0|152422#1,267,49917.3
14,,153452#2,153413#12,True,,,6,153452#2|153451#1|153451#2|153451#3|153451#4|153451#5|153451#6|153451#7|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|-153331#4|-153331#2|-153331#1|-153331#0|-153415#1|-153415#0|-153413#13,262,55589.1
15,,153027,-152938#1,True,,,3,153027|-153490#2|-153490#1|-153490#0|-152732|-153424#1|-153424#0|-153433#0|-153451#6|-153451#5|153456#0|153456#1|153456#2|153456#3|153456#4|153456#5|153456#6|153007#6|152406|153636#1|153002#0|152838|153005#1|152235|153338|153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|-153006#3|-153006#2|-153006#1|-153006#0|-152899#1|-152899#0|152402#0|152402#2|152938#0,251,46046.2
16,,-152570,152550,True,,,2,-152570|153388#1|153388#2|153388#3|-152624#3|-152624#2|-152624#1|-152624#0|-153424#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153372#0|152558#1|152558#2|152558#3|152558#5|152558#6|153359#0|152550,250,47796.6
21,,153479#9,-153391#1,True,,,0,153479#9|153479#11|-152330#0|153637|152405|-153007#6|-153456#6|-153456#5|-153456#4|-153456#3|-153456#2|-153456#1|-153456#0|153451#5|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0,236,50942.1
19,,-153457,-153403,True,,,1,-153457|153452#1|153452#2|153451#1|153451#2|153451#3|153451#4|153451#5|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|-153331#4|-153410#9|-153410#8|-153410#7|-153409|-153402|-153416|-153408|-153403,246,57639.7
22,,-153482#1,152558#6,True,,,0,-153482#1|-153482#0|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153372#0|152558#1|152558#2|152558#3|152558#5|152558#6,258,61350.5
20,,152851#1,-153381#2,True,,,0,152851#1|152851#2|-152931#1|-152931#0|-152908#7|-152908#6|-152908#5|-152929|-152908#0|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153490#6|153490#7|153490#8|153490#9|152618#1|152214|153373|152248|153370#0|153370#1|152247|153371#0|153371#1|153371#2,236,57261.3
23,,-153570,-153033#0,True,,,2,-153570|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|153440#1|153440#2|153440#3|153440#4|153440#5|153440#6|-152255#1|-153042#0|152720#1|152720#2|-153033#2|-153033#1|-153033#0,264,57634.2
24,,-152739,-153006#0,True,,,3,-152739|-152734#0|-153424#0|-153433#0|-153451#6|-153451#5|153456#0|153456#1|153456#2|153456#3|153456#4|153456#5|153456#6|153007#6|152406|153636#1|153002#0|152838|153005#1|152235|153338|153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|-153006#3|-153006#2|-153006#1|-153006#0,269,64522.0
26,,152639,153366#1,True,,,0,152639|-152572#5|-152572#4|-152977|-152624#1|-152624#0|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153372#0|153366#0|153366#1,309,73781.8
18,,152961,-153648,True,,,0,152961|-152845|153427#7|153427#9|153427#10|-153332#2|-153000|-152737#0|-153434|-153432|-152745|-152908#0|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|153563|152176#1|152355#0|152591#1|152591#2|152591#3|152591#4|152591#5|152933#2|152933#3|-153399#1|-153399#0|152649#0,247,65962.5
25,,-153435#0,-152664#0,True,,,5,-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|-153331#4|-153331#2|-153331#1|-153331#0|-153415#1|-153415#0|153413#14|153413#15|153413#16|152997|152999|152706#0|152706#1|152706#2|152706#3|152780|152767#2|152767#3|152716|152381|-152672#2|-152672#1|-152650#0|-152677#5|152668#0|152668#1|-152664#6|-152664#5|-152664#4|-152664#3|-152664#2|-152664#1|-152664#0,274,79879.5
28,,-152750#2,153023#1,True,,,6,-152750#2|-152750#1|-152750#0|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153023#0|153023#1,307,63789.9
17,,152750#1,-153421#4,True,,,0,152750#1|-152487#3|-152489#3|-152489#2|-152489#1|-152489#0|-152572#6|-152572#5|-152572#4|-152572#3|-152977|-152624#1|-152624#0|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|153387#5|153387#6|153420#0|153420#1|153420#2|-152687|-152719|152629|153024|153420#5|153420#7|-153412#2|-153412#1|-153412#0|-152254|-152725#3,248,77233.0
27,,152931#3,-153329#2,True,,,1,152931#3|152467|-152332|-152931#3|-152931#2|-152931#1|-152931#0|-152908#7|-152908#6|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5,313,77518.2
30,,-152851#2,-152449,True,,,3,-152851#2|-152851#1|-152851#0|152851#0|152851#1|152851#2|-152931#1|-152931#0|-152908#7|-152908#6|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153412#4|-153412#3|-153412#2|-153412#1|-153412#0|-152254|153423#0|-152725#3|-152725#2,289,53931.6
29,,-153332#0,-152894#0,True,,,0,-153332#0|153332#0|153332#1|153332#2|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|153444#5|152892#1|-152300|152891#0|152891#1|152399#0|152399#1|152399#2|152901#0|152901#1|152320|152403|152132|152421|152895#2|152982#0|152982#1,300,55188.0
32,,-152843#2,153040#1,True,,,0,-152843#2|153063#0|153063#1|153427#4|153427#5|153427#6|153427#7|153427#9|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|153440#1|153440#2|153440#3|153440#4|153440#5|153440#6|-152255#1|-153042#0|152720#1|152720#2|-153033#2|153040#1,264,68010.2
34,,152428,-152830#2,True,,,0,152428|-152428|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|153444#2|153444#3|153444#4|152836#0|152836#1|152836#2|152836#3|152836#4|-152830#2,245,54892.7
33,,-153569#1,153365#0,True,,,1,-153569#1|-153570|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|153480#0|153480#1|153480#2|153480#3|153480#4|153480#5|153480#6|153480#7|152585#1|152585#2|152219|153365#0|153365#1|-152561|152561|-153365#1,263,59541.5
37,,-153048#1,-153039,True,,,1,-153048#1|-152483#1|-152483#0|152483#0|152483#1|153048#1|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|153387#5|153387#6|153420#0|-153041|-153039,247,66688.7
35,,-152372,153628#1,True,,,3,-152372|-152741#0|153043#1|152723#1|152736#0|152736#1|152736#2|-152734#0|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153490#6|153490#7|153490#8|153490#9|152618#1|152214|153373|152248|153370#0|153370#1|152247|153371#0|153371#1|153371#2|153371#3|153371#4|152512#4|152512#1|152512#2|-152559|152527|153628#1,238,58862.9
36,,153064,152670#4,True,,,1,153064|153063#1|153427#4|153427#5|153427#6|153427#7|153427#9|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|-153331#4|-153331#2|-153331#1|-153331#0|-153415#1|-153415#0|153413#14|153413#15|153413#16|152997|152999|152706#0|152706#1|152706#2|152706#3|152780|152767#2|152767#3|152716|152381|-152672#2|-152672#1|-152650#0|-152677#5|-152677#4|-152677#3|-152677#2|-152677#1|-152677#0|152670#4,235,51131.7
38,,152427,153337,True,,,0,152427|-152427|-153394#3|-153394#2|-153394#1|-153394#0|-152413#2|-152413#1|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#8|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3,254,55562.5
39,,-152737#0,-152561,True,,,1,-152737#0|-152149|-153482#0|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|153480#0|153480#1|153480#2|153480#3|153480#4|153480#5|153480#6|153480#7|152585#1|152585#2|152219|153365#0|153365#1|-152561,267,47498.7
40,,-152413#0,152354#0,True,,,0,-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153329#3|-153329#2|-153329#1|-153329#0|152933#3|-153399#1|-153399#0|152649#0|152649#1|152649#2|152649#3|152649#4|152649#5|153406#0|153406#1|153406#2|152679|152678|152542|152647#0|152648#0|152648#1|152648#2|152648#3|152648#4|152648#5|152648#6|152353#2|152354#0,273,55777.0
41,,-152624#1,-153374#4,True,,,0,-152624#1|-152624#0|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153023#0|153023#1|152599|152352#2|152539#1,267,53683.9
43,,152846,-153381#4,True,,,1,152846|-152854#0|-153456#5|-153456#4|-153456#3|-153456#2|-153456#1|-153456#0|153451#5|153451#6|153451#7|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153490#6|153490#7|153490#8|153490#9|152618#1|152214|153373|152248|153370#0|153370#1|152247|153371#0|153371#1|153371#2|153371#3|153371#4|152512#4|153381#0|153381#1|153381#2|153381#3,285,61237.3
47,,-152732,152627#1,True,,,0,-152732|-153424#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|152627#0|152627#1,286,59499.6
44,,153456#5,152337,True,,,1,153456#5|152854#0|152854#1|-152854#1|-152854#0|-153456#5|-153456#4|-153456#3|-153456#2|-153456#1|-153456#0|153451#5|153451#6|153451#7|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153372#0|152558#1|152558#2|152558#3|152558#5|152558#6|153359#0|153359#1|153354#0|152337,276,70308.3
45,,152644,152827#1,True,,,1,152644|-153394#0|-152413#2|-152413#1|-152413#0|152412|-152537|152928#4|152411|152531|152328#1|152288|152855|152210|152536|152394|153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|-153006#3|-153006#2|-153006#1|-153006#0|152899#2|-152870#4|-152870#3|-152870#2|-152870#1|-152870#0|153552#3,277,57338.6
46,,-153050#0,153423#3,True,,,0,-153050#0|153050#0|-152469|-152908#6|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153412#4|-153412#3|-153412#2|-153412#1|-153412#0|-152254|153423#1|153423#2|153423#3,277,61309.3
48,,153043#0,-152817#0,True,,,4,153043#0|153043#1|152723#1|153391#0|153391#1|-153392#0|153327#0|153327#1|153327#2|153327#3|153327#4|153327#5|153327#6|153327#7|153327#9|153327#11|153327#12|-153335#7|-153335#6|-153335#5|-153335#4|-153335#3|-153335#2|-153335#1|-153335#0|-153444#0|-153441#3|-153441#2|-153441#1|153443|152812#1|152812#2|152812#3|152812#4|152812#5|152814#8|152814#9|152814#10|152814#11|152759|152230|152785#0|152785#1|152785#2|152167|152969#0|152969#1|152969#2|152969#3|-152795#1|152808|152959#3|152959#4|-152817#3|-152817#2|-152817#1|-152817#0,291,71618.4
49,,152841#1,-153549#1,True,,,0,152841#1|153427#6|153427#7|153427#9|153427#10|153427#11|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|152734#0|-152736#2|-152736#1|-152736#0|153391#0|153391#1|153392#1|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|-153383#0|-152250|-153385#1|-153385#0|-152251|-153412#5|-153329#5|-153329#4|-153331#11|-153331#10|-153331#9|-153331#8|-153331#7|-153331#6|-153331#5|-153331#4|-153331#2|-153331#1|-153331#0|-153415#1|-153415#0|153413#14|153413#15|153413#16|152997|152999|152706#0|152706#1|152706#2|152706#3|152780|152767#2|152767#3|152716|152381|-152775#0|152810#0|152810#1|152810#2|152820|152960#1|152960#2|152960#3|152960#4|152960#5|152960#6|152960#7|152960#8|-152825#1|-152825#0|-153549#2|-153549#1|152778|-152778,293,70695.8
