seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,ablation,153487#1,-152776,True,408219.0,56417.65920455079,683.75,1279493.09,0.0,0,81.13,7235.66,0,220,44307.6
1,1,ablation,-152401,-153473#0,True,148498.27,84829.00900283338,151.75,465439.18,0.0,0,19.82,1750.56,0,231,41570.8
1,2,ablation,-153413#12,-153370#1,True,786651.55,133453.59373117972,819.25,2465748.14,300.25,1,338.3,5894.57,0,239,46458.9
1,0,ours-fuel,153487#1,-152776,True,617952.61,79067.16746379648,995.5,1936973.51,300.25,1,369.12,7815.54,0,220,44307.6
1,1,ours-fuel,-152401,-153473#0,True,193983.89,102364.00814758528,196.0,608023.55,18.5,2,49.35,1895.04,0,231,41570.8
1,2,ours-fuel,-153413#12,-153370#1,True,587621.91,88610.57436390806,571.25,1841782.0,0.0,0,29.47,6631.51,0,239,46516.6
