seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
10,14,ablation,152398#3,-153476#16,True,200348.12,91380.09642093166,186.25,627954.73,0.0,0,19.68,2192.47,0,260,44653.3
10,15,ablation,-152930,-153355#4,True,331465.97,40729.19126745299,621.5,1038859.5,0.0,0,30.78,8138.29,0,256,48702.6
10,16,ablation,152385,-152742,True,901599.24,115417.26011790083,540.0,2825921.71,21.25,2,79.2,7811.65,0,247,58716.4
10,17,ablation,-152725#0,152483#0,True,639338.04,98064.1482056387,581.25,2003928.34,0.0,0,47.36,6519.59,0,242,68704.6
10,18,ablation,152413#1,153427#10,True,237433.09,95062.97544882368,217.5,744198.13,0.0,0,24.08,2497.64,0,238,69305.2
10,19,ablation,-153451#0,-152492,True,453775.48,51201.515592595344,764.25,1422228.74,0.0,0,24.13,8862.54,0,237,62724.1
10,20,ablation,152817#3,153056,True,564871.06,105170.94831855642,525.75,1770522.2,8.75,1,67.54,5370.98,0,247,60741.3
10,21,ablation,-152830#0,152556,True,371986.35,68125.2506716627,456.75,1165906.26,0.0,0,27.69,5460.33,0,237,50230.1
10,22,ablation,-152657#2,153332#2,True,809214.97,121670.54385366123,712.25,2536420.59,5.5,2,71.92,6650.87,0,247,60465.1
10,23,ablation,-153553,153475#2,True,362776.88,87606.10480560252,407.25,1137069.67,0.0,0,38.32,4141.0,0,265,53799.7
10,24,ablation,153454#0,152489#3,True,557353.0,102708.15634922244,452.75,1746954.2,12.0,2,40.71,5426.57,0,268,67795.8
1,0,ours-fuel,153487#1,-152776,True,313815.27,45870.439124499004,621.5,983583.08,0.0,0,52.13,6841.34,0,219,41953.4
1,1,ours-fuel,-152401,-153473#0,True,145397.94,79964.98869804814,182.0,455723.93,2.75,1,17.13,1818.27,0,230,41075.9
1,2,ours-fuel,-153413#12,-153370#1,True,584784.52,93063.7236023362,542.25,1832899.34,0.0,0,37.21,6283.7,0,236,49196.8
1,3,ours-fuel,-152883#0,-152743#1,True,859161.85,116588.05353626779,534.25,2692912.37,4.75,2,70.97,7369.21,0,249,56968.7
1,4,ours-fuel,153327#1,-152682#1,True,195915.18,37957.24473841754,475.75,614037.5,0.0,0,30.21,5161.47,0,249,61054.6
1,5,ours-fuel,153405#1,152690,True,261228.12,144151.30947256894,215.0,818813.9,12.5,1,54.25,1812.18,0,240,63138.7
1,6,ours-fuel,-152443,-152427,True,638710.36,101730.41796873756,534.0,2001945.36,21.5,1,58.62,6278.46,0,240,66595.8
1,7,ours-fuel,-152712,-153363#0,True,252482.14,67351.38033413983,337.0,791351.38,24.25,1,53.52,3748.73,0,226,57069.0
1,8,ours-fuel,-153383#2,152960#6,True,430073.72,107180.00912119981,709.5,1348117.61,313.5,2,355.38,4012.63,0,216,60643.8
1,9,ours-fuel,153572#0,153327#0,True,412089.35,87340.1883341352,398.25,1291612.64,0.0,0,30.64,4718.21,0,230,46481.3
1,10,ours-fuel,152677#1,-153365#1,True,190899.2,88900.31387670327,218.25,598349.68,0.0,0,22.15,2147.34,0,238,48198.4
1,11,ours-fuel,152789#0,153401,True,1028052.06,578972.2411511277,1355.75,3222760.51,1203.0,5,1226.52,1775.65,0,237,57279.0
