ego_id,seed,arm,crossed,chosen_cost,bypass_cost,ratio
ego_1,2,ours-fuel,False,136454.719,115808.133,1.1783
ego_1,2,ours-augtime,False,179.332,135.301,1.3254
ego_0,2,ours-fuel,False,286418.731,250087.168,1.1453
ego_0,2,ours-augtime,False,638.861,500.1,1.2775
ego_2,2,ours-fuel,False,556412.17,525680.861,1.0585
ego_2,2,ours-augtime,False,707.481,592.057,1.195
ego_5,2,ours-fuel,False,221260.838,124967.894,1.7705
ego_5,2,ours-augtime,False,360.999,134.753,2.679
ego_3,2,ours-fuel,False,859082.282,616162.038,1.3942
ego_4,2,ours-fuel,False,155229.58,152385.647,1.0187
ego_3,2,ours-augtime,False,886.696,610.156,1.4532
ego_4,2,ours-augtime,False,352.532,344.458,1.0234
ego_7,2,ours-fuel,False,230866.843,207121.008,1.1146
ego_7,2,ours-augtime,False,389.084,268.785,1.4476
ego_6,2,ours-fuel,False,614369.442,557924.923,1.1012
ego_6,2,ours-augtime,False,761.172,602.222,1.2639
ego_8,2,ours-augtime,False,482.051,354.163,1.3611
ego_10,2,ours-fuel,False,163385.653,148938.246,1.097
ego_9,2,ours-fuel,False,372714.875,312970.159,1.1909
ego_9,2,ours-augtime,False,552.093,469.232,1.1766
ego_10,2,ours-augtime,False,389.596,248.684,1.5666
ego_13,2,ours-fuel,False,73966.313,54282.214,1.3626
ego_8,2,ours-fuel,False,200569.146,167694.944,1.196
ego_13,2,ours-augtime,False,98.868,86.212,1.1468
ego_1,2,ablation,False,116.345,105.787,1.0998
ego_0,2,ablation,False,434.998,418.32,1.0399
ego_2,2,ablation,False,408.289,378.122,1.0798
ego_5,2,ablation,False,107.514,90.024,1.1943
ego_3,2,ablation,False,420.87,413.113,1.0188
ego_4,2,ablation,False,314.981,307.041,1.0259
ego_7,2,ablation,False,234.918,230.598,1.0187
ego_6,2,ablation,False,413.235,407.724,1.0135
ego_8,2,ablation,False,249.164,230.971,1.0788
ego_10,2,ablation,False,133.05,121.685,1.0934
ego_9,2,ablation,False,316.192,255.809,1.236
ego_11,2,ablation,False,133.518,96.426,1.3847
ego_13,2,ablation,False,30.958,24.58,1.2595
