trip,arm,origin,dest,arrived,duration_s,fuel_mg,reroutes,driven_edges,bg_vcount_at_depart,bg_possum_at_depart
0,,-153451#0,-153006#0,True,676.0,268498.17489541456,0,-153451#0|-153452#1|153457|153459#1|153458#1|153005#0|153005#1|152235|153338|153641|152330#0|152330#1|152330#2|152330#3|152330#4|152330#5|152166|-153006#3|-153006#2|-153006#1|-153006#0,220,44307.6
2,,153571,-152163#1,True,1014.75,600417.5829147523,0,153571|-153571|152487#2|152487#3|152750#2|152750#4|152750#5|152750#7|152750#8|-152413#0|152412|152444#1|-153435#3|-153435#2|-153435#1|-153435#0|-153451#5|153456#0|153456#1|153456#2|153456#3|153456#4|153456#5|153456#6|153007#6|152406|153636#1|153002#0|152838|153005#1|152235|153338|153641|152330#0|-153479#11|-153479#9|-153479#8|-153479#7|-153479#6|-153479#5|-153479#3|-153479#2|-153479#1|-153479#0|-153476#25|-153476#24|-153476#23|-153476#22|-153476#20|-153476#19|-153476#18|-153476#17|-153476#16|-153476#15|-153476#14|-153476#13|-153476#12|-153476#11|-153476#10|-153476#9|-153476#8|-153476#7|-153476#6|-153476#5|-153476#3|-153476#2|-153476#1|152895#1|152895#2|152982#0|152982#1|152894#0|152894#1|152873#1|152873#2|152163#0,238,47932.8
1,,153641,152334,True,1280.5,1087580.7442525798,0,153641|153637|152405|-153007#6|-153007#5|-153007#4|-153007#3|-153007#2|-153007#0|-152931#0|-152908#7|-152908#6|-152908#5|-152908#3|-152908#2|-152908#1|-152908#0|153433#1|153424#1|152732|153490#0|153490#1|153490#2|153490#3|153490#4|153490#5|153387#0|153387#1|153387#2|-152628#1|-152628#0|-153384#1|-153384#0|-152177|-152176#2|-152176#1|-152176#0|153383#1|153383#2|153383#3|153383#4|153383#5|-152246|153369#0|153369#1|152245|152565|152307|-153372#4|-153372#3|-153372#2|-153372#1|-153326#4|-153326#3|-153326#2|-153326#1|-153326#0|-153360#0|-153362#0|-153325#2|-153355#4,231,42671.9
