seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,0,ablation,153487#1,-152776,True,314921.32,46032.110668377834,622.0,987063.88,0.0,0,53.14,6841.34,0,219,41953.4
1,1,ablation,-152401,-153473#0,True,145397.94,79964.98869804814,182.0,455723.93,2.75,1,17.13,1818.27,0,230,41075.9
1,2,ablation,-153413#12,-153370#1,True,583668.63,92886.13873991439,542.25,1829401.85,0.0,0,37.17,6283.7,0,236,49196.8
1,0,ours-augtime,153487#1,-152776,True,314921.32,46032.110668377834,622.0,987063.88,0.0,0,53.14,6841.34,0,219,41953.4
1,1,ours-augtime,-152401,-153473#0,True,145397.94,79964.98869804814,182.0,455723.93,2.75,1,17.13,1818.27,0,230,41075.9
1,2,ours-augtime,-153413#12,-153370#1,True,583668.63,92886.13873991439,542.25,1829401.85,0.0,0,37.17,6283.7,0,236,49196.8
